idUser;firstName;lastName;fullName;tanggalLahir;Alamat;jenisKelamin;noTelp;noRekening;kodeBank;namaBank
11927;Angga;Ika;Angga Ika;1972-05-27;Brebes;P;08870860332;714231303;1;Bank Central Asia
14318;Suherman;Slamet;Suherman Slamet;1990-01-29;Subang;P;08698287069;475440499;3;Bank Mega
13474;Suwarti;Indah;Suwarti Indah;1996-10-29;Tasikmalaya;L;08819451900;544757947;11;Bank Raya Indonesia
12721;Nengah;Arif;Nengah Arif;1990-06-21;Karawang;L;08574283247;663383718;11;Bank Raya Indonesia
10457;Arifin;Hendri;Arifin Hendri;1965-02-11;Cianjur;P;08444978831;604250371;11;Bank Raya Indonesia
10744;Tatang;La;Tatang La;1973-01-06;Rembang;P;08493081721;605511335;2;Bank Artha Graha Internasional
13182;Riska;Muhamad;Riska Muhamad;1968-07-06;Sukabumi;P;08541063640;664990943;7;Bank Syariah Indonesia
10523;Ramli;Sri;Ramli Sri;1978-11-05;Sragen;P;08805127100;433503570;2;Bank Artha Graha Internasional
11100;Siska;Ratna;Siska Ratna;1967-07-15;Tasikmalaya;P;08784976420;587662673;17;Bank Panin
13599;Supriyanto;Sunarti;Supriyanto Sunarti;1992-09-19;Garut;L;08499441349;432664371;7;Bank Syariah Indonesia
10415;Dani;Edy;Dani Edy;1982-09-29;Karawang;L;08243231604;632077702;8;Bank Jabar
13799;Bagus;Agus;Bagus Agus;1965-03-22;Temanggung;P;08220899473;503924746;8;Bank Jabar
10850;Nanik;Deni;Nanik Deni;1970-11-19;Kebumen;P;08736323350;553560367;17;Bank Panin
10339;Sigit;Sri;Sigit Sri;1989-12-14;Bekasi;L;08303605133;560401444;18;Bank Mandiri
14282;Rusli;Umi;Rusli Umi;1987-10-07;Bekasi;L;08506156200;492967335;3;Bank Mega
13916;Candra;Ari;Candra Ari;1990-10-26;Grobogan;L;08705918035;595491615;9;Bank Artos
10091;Sudirman;Rini;Sudirman Rini;1999-05-05;Purworejo;L;08696182773;487768552;11;Bank Raya Indonesia
12199;Ririn;Lina;Ririn Lina;1975-02-05;Bogor;L;08483018144;541119303;2;Bank Artha Graha Internasional
14244;Suryadi;Rina;Suryadi Rina;1967-09-21;Purworejo;L;08762978859;587513605;5;Bank Negara Indonesia
11592;Wahyuni;Iwan;Wahyuni Iwan;1979-05-06;Karanganyar;L;08353366831;465757051;5;Bank Negara Indonesia
12499;Suwarno;Ida;Suwarno Ida;1978-07-21;Bandung;L;08433108227;603977310;9;Bank Artos
11310;Jumiati;Akhmad;Jumiati Akhmad;1999-02-09;Kuningan;L;08802475497;699265989;16;Bank Sinarmas
13047;Sitti;Agus;Sitti Agus;1978-05-05;Bogor;L;08503512047;698458397;17;Bank Panin
11292;Murni;Adi;Murni Adi;1966-03-08;Pekalongan;P;08302773546;599433707;15;Bank UOB Indonesia
12473;Mimin;Edi;Mimin Edi;1971-07-07;Indramayu;P;08506469005;708496028;12;Bank Jenius
13122;Jajang;Indra;Jajang Indra;1996-07-30;Bekasi;L;08397400355;554746543;13;Bank BPD Bali
11381;Ruslan;Herman;Ruslan Herman;1994-03-08;Klaten;P;08292546733;469245518;15;Bank UOB Indonesia
14264;Suyanto;Hadi;Suyanto Hadi;1996-01-20;Batang;L;08335956488;498386417;11;Bank Raya Indonesia
10106;Nunung;Slamet;Nunung Slamet;1966-03-26;Bandung Barat;P;08707704527;462371384;12;Bank Jenius
12003;Yayah;Sugeng;Yayah Sugeng;1982-11-15;Bandung;P;08806016647;476570388;20;Bank Digital BCA
11630;St;Devi;St Devi;1988-07-25;Kudus;L;08847574124;490611581;15;Bank UOB Indonesia
11536;Ibrahim;Sunarti;Ibrahim Sunarti;1995-08-20;Kudus;P;08271341922;650101457;4;Bank Rakyat Indonesia
10378;Sumini;Halimah;Sumini Halimah;1979-03-09;Magelang;P;08468840531;582360839;4;Bank Rakyat Indonesia
12395;Nurjanah;Aminah;Nurjanah Aminah;1978-02-05;Bekasi;P;08740387728;689436781;7;Bank Syariah Indonesia
13262;Intan;Titin;Intan Titin;1969-05-13;Cirebon;L;08525776547;685931205;8;Bank Jabar
12249;Suyati;Lilis;Suyati Lilis;1965-10-13;Semarang;L;08583710713;631878156;7;Bank Syariah Indonesia
14371;Neng;Lukman;Neng Lukman;1999-09-06;Sukoharjo;L;08565463324;552044248;12;Bank Jenius
12800;Khoirul;Nur;Khoirul Nur;1984-04-02;Semarang;P;08536781512;646454696;1;Bank Central Asia
12984;Siska;Iwan;Siska Iwan;1980-11-09;Tegal;L;08439287981;659186578;7;Bank Syariah Indonesia
14618;Aji;Made;Aji Made;1988-04-12;Depok;L;08469250632;587737202;2;Bank Artha Graha Internasional
12574;Toni;Nurul;Toni Nurul;1997-04-22;Jepara;L;08767335084;641582556;12;Bank Jenius
14953;Siswanto;Maria;Siswanto Maria;1987-12-14;Surakarta;P;08294673587;691817870;16;Bank Sinarmas
14099;Daniel;Sulastri;Daniel Sulastri;1999-12-28;Wonogiri;P;08263205251;671101435;6;Bank Maspion
12938;Maryam;Arif;Maryam Arif;1995-06-23;Kuningan;L;08425925178;432651699;14;Bank Tabungan Negara
14458;Rohani;Yudi;Rohani Yudi;1982-01-20;Purwakarta;P;08838764014;540721286;10;Bank Jago
10564;Petrus;Imam;Petrus Imam;1985-12-23;Garut;L;08408945791;580773018;16;Bank Sinarmas
11459;Tini;Yudi;Tini Yudi;1992-08-06;Rembang;P;08475309260;493486176;15;Bank UOB Indonesia
14622;Eman;Yanti;Eman Yanti;1978-09-30;Bekasi;L;08373536059;588552073;2;Bank Artha Graha Internasional
11724;Abu;Iis;Abu Iis;1979-05-24;Cirebon;P;08497423028;692037217;7;Bank Syariah Indonesia
12232;Maryam;Ni;Maryam Ni;1989-08-27;Tegal;P;08607584232;558776858;10;Bank Jago
11060;Yunita;Erni;Yunita Erni;1986-01-04;Banjarnegara;L;08633079176;671887232;19;Bank HSBC Indonesia
11889;Toni;Dedi;Toni Dedi;1984-03-13;Tegal;L;08244249359;648616450;1;Bank Central Asia
14870;Syamsul;Joko;Syamsul Joko;1969-11-27;Pekalongan;P;08494449897;567178047;4;Bank Rakyat Indonesia
14322;Petrus;Hendra;Petrus Hendra;1987-06-08;Karanganyar;L;08260333132;623337478;9;Bank Artos
10779;Didi;Reni;Didi Reni;1978-08-16;Purwakarta;L;08580801208;591672687;12;Bank Jenius
10119;Winda;Lukman;Winda Lukman;1991-09-11;Bogor;P;08406746548;664380662;19;Bank HSBC Indonesia
12821;Hartono;Yudi;Hartono Yudi;1977-02-15;Kuningan;P;08650398303;428521596;19;Bank HSBC Indonesia
12178;Elis;Ai;Elis Ai;1975-06-21;Semarang;P;08441151935;582500278;8;Bank Jabar
13652;Angga;Sumiati;Angga Sumiati;1987-02-17;Bandung;P;08569000544;591113922;11;Bank Raya Indonesia
